timestamp,app_name,window_title
2025-11-29 18:01:38,Electron,mac_tracker.py — spoti
2025-11-29 18:01:44,Electron,mac_tracker.py — spoti
2025-11-29 18:01:49,Electron,mac_tracker.py — spoti
2025-11-29 18:01:54,Electron,mac_tracker.py — spoti
2025-11-29 18:01:59,Spotify,Spotify Premium
2025-11-29 18:02:04,Spotify,Spotify Premium
2025-11-29 18:02:09,Electron,mac_tracker.py — spoti
2025-11-29 18:02:15,Spotify,Spotify Premium
2025-11-29 18:02:20,Spotify,Nogymx - Whispers of Eden
2025-11-29 18:02:25,Electron,music_fetcher.py — spoti
2025-11-29 18:02:30,Electron,music_fetcher.py — spoti
2025-11-29 18:02:35,Electron,music_fetcher.py — spoti
2025-11-29 18:02:40,Spotify,Nogymx - Whispers of Eden
2025-11-29 18:02:46,Spotify,Nogymx - Whispers of Eden
2025-11-29 18:02:51,Arc,Google Gemini
2025-11-29 18:02:56,Notion,Finance Tracker
2025-11-29 18:03:01,Notion,Finance Tracker
2025-11-29 18:03:06,Notion,Finance Tracker
2025-11-29 18:03:12,MSTeams,Teams and Channels | Event Hall | Microsoft Teams
2025-11-29 18:03:17,MSTeams,Teams and Channels | General | Microsoft Teams
2025-11-29 18:03:22,MSTeams,Activity | Microsoft Teams
2025-11-29 18:03:27,MSTeams,Teams and Channels | General | Microsoft Teams
2025-11-29 18:03:32,MSTeams,Teams and Channels | Course Project | Microsoft Teams
2025-11-29 18:03:38,MSTeams,Teams and Channels | Course Project | Microsoft Teams
2025-11-29 18:03:43,MSTeams,Teams and Channels | Course Project | Microsoft Teams
2025-11-29 18:03:48,MSTeams,Teams and Channels | Course Project | Microsoft Teams
2025-11-29 18:03:53,MSTeams,Teams and Channels | Course Project | Microsoft Teams
2025-11-29 18:03:58,MSTeams,Teams and Channels | Course Project | Microsoft Teams
2025-11-29 18:04:03,MSTeams,Teams and Channels | Course Project | Microsoft Teams
2025-11-29 18:04:09,MSTeams,
2025-11-29 18:04:15,Arc,Project Title
2025-11-29 18:04:21,Arc,Project Title
2025-11-29 18:04:26,Arc,Project Title
2025-11-29 18:04:31,Arc,Notion
2025-11-29 18:04:36,Arc,Notion - Log in
2025-11-29 18:04:41,Notion,Finance Tracker
2025-11-29 18:04:46,Notion,Finance Tracker
2025-11-29 18:04:52,Arc,notion.so/verifyNoPopupBlockerHtmlAndRedirect?redirectUri=https%3A%2F%2Fwww.notion.so%2Fmicrosoftpopupredirect%3FcallbackType%3Dpopup%26redirectToAuth%3Dtrue%26tid%3Dce811248829f4fc694d0064b4b329f76
2025-11-29 18:04:57,Arc,Sign in to your account
2025-11-29 18:05:02,Arc,Sign in to your account
2025-11-29 18:05:07,Arc,Sign in to your account
2025-11-29 18:05:12,Arc,Sign in to your account
2025-11-29 18:05:18,Arc,Sign in to your account
2025-11-29 18:05:23,Arc,Sign in to your account
2025-11-29 18:05:28,Arc,Notion
2025-11-29 18:05:33,Arc,Finance Tracker
2025-11-29 18:05:38,Arc,Finance Tracker
2025-11-29 18:05:43,MSTeams,Teams and Channels | Assignment | Microsoft Teams
2025-11-29 18:05:49,MSTeams,Teams and Channels | Course Project | Microsoft Teams
2025-11-29 18:05:54,Arc,Project Title
2025-11-29 18:05:59,Arc,Project Title
2025-11-29 18:06:04,Arc,Finance Tracker
2025-11-29 18:06:09,Arc,Project Title
2025-11-29 18:06:15,Arc,Finance Tracker
2025-11-29 18:06:20,Arc,Project Title
2025-11-29 18:06:25,Arc,Project Title
2025-11-29 18:06:30,Arc,Project Title
2025-11-29 18:06:35,Arc,Project Title
2025-11-29 18:06:41,Arc,Project Title
2025-11-29 18:06:46,Electron,mac_activity_log.csv — spoti
2025-11-29 18:06:51,Electron,mac_activity_log.csv — spoti
2025-11-29 18:06:56,Electron,README.md — spoti
2025-11-29 18:07:01,Electron,README.md — spoti
2025-11-29 18:07:06,Electron,README.md — spoti
2025-11-29 18:07:12,Arc,Project Title
2025-11-29 18:07:17,Arc,Project Title
2025-11-29 18:07:22,Arc,Project Title
2025-11-29 18:07:27,Arc,Project Title
2025-11-29 18:07:32,Arc,Project Title
2025-11-29 18:07:38,Arc,Project Title
2025-11-29 18:07:43,Arc,Project Title
2025-11-29 18:07:48,Arc,Project Title
2025-11-29 18:07:53,Arc,Project Title
2025-11-29 18:07:58,Arc,Project Title
2025-11-29 18:08:03,Arc,Project Title
2025-11-29 18:08:09,Arc,Project Title
2025-11-29 18:08:14,Arc,Project Title
2025-11-29 18:08:19,Arc,Project Title
2025-11-29 18:08:24,Arc,Project Title
2025-11-29 18:08:29,Arc,Project Title
2025-11-29 18:08:35,Arc,Project Title
2025-11-29 18:08:40,Arc,Project Title
2025-11-29 18:08:45,Arc,Project Title
2025-11-29 18:08:50,Arc,Project Title
2025-11-29 18:08:55,Arc,Project Title
2025-11-29 18:09:00,Arc,Project Title
2025-11-29 18:09:06,Arc,Project Title
2025-11-29 18:09:11,Arc,Project Title
2025-11-29 18:09:16,Electron,README.md — spoti
2025-11-29 18:09:21,Electron,README.md — spoti
2025-11-29 18:09:26,Electron,README.md — spoti
2025-11-29 18:09:32,Electron,README.md — spoti
2025-11-29 18:09:37,Electron,README.md — spoti
2025-11-29 18:09:42,Electron,README.md — spoti
2025-11-29 18:09:47,Electron,README.md — spoti
2025-11-29 18:09:52,Electron,mac_activity_log.csv — spoti
2025-11-29 18:09:58,Arc,Project Title
2025-11-29 18:10:03,Arc,Project Title
2025-11-29 18:10:08,Arc,Project Title
2025-11-29 18:10:13,Arc,Project Title
2025-11-29 18:10:18,Arc,Project Title
2025-11-29 18:10:23,Arc,Project Title
2025-11-29 18:10:29,Arc,The Rh
2025-11-29 18:10:34,Arc,Quantifying the L
2025-11-29 18:10:39,Arc,Quantifying the Lagged Causal E
2025-11-29 18:10:44,Arc,Quantifying the Lagged Causal Effects of Musical G
2025-11-29 18:10:49,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital productivity a
2025-11-29 18:10:55,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity a
2025-11-29 18:11:00,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:11:05,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:11:10,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:11:15,Electron,music_fetcher.py — spoti
2025-11-29 18:11:21,Arc,Google Gemini
2025-11-29 18:11:26,Arc,Google Gemini
2025-11-29 18:11:31,Arc,Google Gemini
2025-11-29 18:11:36,Arc,Google Gemini
2025-11-29 18:11:41,Arc,Google Gemini
2025-11-29 18:11:46,Arc,Google Gemini
2025-11-29 18:11:52,Arc,Google Gemini
2025-11-29 18:11:57,Arc,Google Gemini
2025-11-29 18:12:02,Arc,Google Gemini
2025-11-29 18:12:07,Arc,Google Gemini
2025-11-29 18:12:12,Arc,Google Gemini
2025-11-29 18:12:18,Arc,Google Gemini
2025-11-29 18:12:23,Electron,music_fetcher.py — spoti
2025-11-29 18:12:28,Electron,music_fetcher.py — spoti
2025-11-29 18:12:33,Arc,Google Gemini
2025-11-29 18:12:38,Arc,Google Gemini
2025-11-29 18:12:44,Arc,Google Gemini
2025-11-29 18:12:49,MSTeams,Teams and Channels | Course Project | Microsoft Teams
2025-11-29 18:12:54,Arc,Google Gemini
2025-11-29 18:12:59,Arc,Google Gemini
2025-11-29 18:13:04,Arc,Google Gemini
2025-11-29 18:13:09,Arc,Google Gemini
2025-11-29 18:13:15,Arc,Google Gemini
2025-11-29 18:13:20,Electron,music_fetcher.py — spoti
2025-11-29 18:13:25,Electron,music_fetcher.py — spoti
2025-11-29 18:13:30,Spotify,kokoro - Cailín
2025-11-29 18:13:35,Electron,music_fetcher.py — spoti
2025-11-29 18:13:41,Electron,music_fetcher.py — spoti
2025-11-29 18:13:46,Electron,music_fetcher.py — spoti
2025-11-29 18:13:51,Electron,music_fetcher.py — spoti
2025-11-29 18:13:56,Spotify,kokoro - Cailín
2025-11-29 18:14:01,Arc,Untitled
2025-11-29 18:14:06,Electron,music_fetcher.py — spoti
2025-11-29 18:14:11,Arc,api.spotify.com/v1/me/player/devices
2025-11-29 18:14:17,Electron,music_fetcher.py — spoti
2025-11-29 18:14:22,Arc,Google Gemini
2025-11-29 18:14:27,Arc,Google Gemini
2025-11-29 18:14:32,Arc,Google Gemini
2025-11-29 18:14:37,Arc,Google Gemini
2025-11-29 18:14:43,Arc,Google Gemini
2025-11-29 18:14:48,Arc,Home | Spotify for Developers
2025-11-29 18:14:53,Arc,Home | Spotify for Developers
2025-11-29 18:14:58,Arc,Home | Spotify for Developers
2025-11-29 18:15:03,Arc,Home | Spotify for Developers
2025-11-29 18:15:09,Arc,spotify-for-developers
2025-11-29 18:15:14,Electron,music_fetcher.py — spoti
2025-11-29 18:15:19,Electron,music_fetcher.py — spoti
2025-11-29 18:15:24,Arc,Google Gemini
2025-11-29 18:15:29,Electron,music_fetcher.py — spoti
2025-11-29 18:15:34,Electron,music_fetcher.py — spoti
2025-11-29 18:15:40,Arc,Google Gemini
2025-11-29 18:15:45,Arc,Google Gemini
2025-11-29 18:15:50,Arc,Google Gemini
2025-11-29 18:15:55,Arc,Google Gemini
2025-11-29 18:16:00,Arc,Google Gemini
2025-11-29 18:16:06,Electron,music_fetcher.py — spoti
2025-11-29 18:16:11,Spotify,kokoro - Cailín
2025-11-29 18:16:16,Electron,music_fetcher.py — spoti
2025-11-29 18:16:21,Electron,music_fetcher.py — spoti
2025-11-29 18:16:26,Electron,music_fetcher.py — spoti
2025-11-29 18:16:31,Electron,music_fetcher.py — spoti
2025-11-29 18:16:37,Electron,music_fetcher.py — spoti
2025-11-29 18:16:42,Spotify,Spotify Premium
2025-11-29 18:16:47,Spotify,Spotify Premium
2025-11-29 18:16:52,Electron,music_fetcher.py — spoti
2025-11-29 18:16:57,Electron,music_fetcher.py — spoti
2025-11-29 18:17:03,Electron,music_fetcher.py — spoti
2025-11-29 18:17:08,Electron,music_fetcher.py — spoti
2025-11-29 18:17:13,Electron,music_fetcher.py — spoti
2025-11-29 18:17:18,Electron,music_fetcher.py — spoti
2025-11-29 18:17:23,Electron,music_fetcher.py — spoti
2025-11-29 18:17:28,Electron,music_fetcher.py — spoti
2025-11-29 18:17:34,Electron,music_fetcher.py — spoti
2025-11-29 18:17:39,Electron,music_fetcher.py — spoti
2025-11-29 18:17:44,Electron,music_fetcher.py — spoti
2025-11-29 18:17:49,Electron,music_fetcher.py — spoti
2025-11-29 18:17:54,Electron,music_fetcher.py — spoti
2025-11-29 18:17:59,Electron,music_fetcher.py — spoti
2025-11-29 18:18:05,Electron,music_fetcher.py — spoti
2025-11-29 18:18:10,Electron,music_fetcher.py — spoti
2025-11-29 18:18:15,Electron,music_fetcher.py — spoti
2025-11-29 18:18:20,Electron,music_fetcher.py — spoti
2025-11-29 18:18:25,Electron,music_fetcher.py — spoti
2025-11-29 18:18:31,Electron,music_fetcher.py — spoti
2025-11-29 18:18:36,Electron,music_fetcher.py — spoti
2025-11-29 18:18:41,Electron,music_fetcher.py — spoti
2025-11-29 18:18:46,Electron,music_fetcher.py — spoti
2025-11-29 18:18:51,Spotify,Spotify Premium
2025-11-29 18:18:56,Arc,Untitled
2025-11-29 18:19:02,Arc,Authorize - Spotify
2025-11-29 18:19:07,Electron,music_fetcher.py — spoti
2025-11-29 18:19:12,Electron,music_fetcher.py — spoti
2025-11-29 18:19:17,Arc,Google Gemini
2025-11-29 18:19:22,Arc,Google Gemini
2025-11-29 18:19:27,Arc,Google Gemini
2025-11-29 18:19:33,Arc,Google Gemini
2025-11-29 18:19:38,Arc,Google Gemini
2025-11-29 18:19:43,Arc,Google Gemini
2025-11-29 18:19:48,Arc,Google Gemini
2025-11-29 18:19:53,Arc,Google Gemini
2025-11-29 18:19:58,Arc,Google Gemini
2025-11-29 18:20:04,Arc,Google Gemini
2025-11-29 18:20:09,Arc,Google Gemini
2025-11-29 18:20:14,Arc,Google Gemini
2025-11-29 18:20:19,Arc,Google Gemini
2025-11-29 18:20:24,Arc,Google Gemini
2025-11-29 18:20:30,Electron,music_fetcher.py — spoti
2025-11-29 18:20:35,Electron,music_fetcher.py — spoti
2025-11-29 18:20:40,Spotify,Spotify Premium
2025-11-29 18:20:45,Arc,Authorize - Spotify
2025-11-29 18:20:50,Electron,music_fetcher.py — spoti
2025-11-29 18:20:55,Electron,music_fetcher.py — spoti
2025-11-29 18:21:01,Electron,music_fetcher.py — spoti
2025-11-29 18:21:06,Electron,music_fetcher.py — spoti
2025-11-29 18:21:11,Electron,music_fetcher.py — spoti
2025-11-29 18:21:16,Electron,music_fetcher.py — spoti
2025-11-29 18:21:21,Electron,music_fetcher.py — spoti
2025-11-29 18:21:27,Electron,music_fetcher.py — spoti
2025-11-29 18:21:32,Electron,music_fetcher.py — spoti
2025-11-29 18:21:37,Electron,music_fetcher.py — spoti
2025-11-29 18:21:42,Arc,Google Gemini
2025-11-29 18:21:47,Arc,Google Gemini
2025-11-29 18:21:52,Arc,Google Gemini
2025-11-29 18:21:58,Arc,Google Gemini
2025-11-29 18:22:03,Arc,Google Gemini
2025-11-29 18:22:08,Arc,Google Gemini
2025-11-29 18:22:13,Arc,Google Gemini
2025-11-29 18:22:18,Arc,Google Gemini
2025-11-29 18:22:24,Arc,Google Gemini
2025-11-29 18:22:29,Arc,Google Gemini
2025-11-29 18:22:34,Arc,Google Gemini
2025-11-29 18:22:39,Arc,Google Gemini
2025-11-29 18:22:44,Arc,Google Gemini
2025-11-29 18:22:49,Arc,Google Gemini
2025-11-29 18:22:55,Electron,music_fetcher.py — spoti
2025-11-29 18:23:00,Arc,Google Gemini
2025-11-29 18:23:05,Electron,music_fetcher.py — spoti
2025-11-29 18:23:10,Electron,music_fetcher.py — spoti
2025-11-29 18:23:15,Electron,music_fetcher.py — spoti
2025-11-29 18:23:21,Electron,music_fetcher.py — spoti
2025-11-29 18:23:26,Electron,music_fetcher.py — spoti
2025-11-29 18:23:31,Electron,music_fetcher.py — spoti
2025-11-29 18:23:36,Arc,Google Gemini
2025-11-29 18:23:41,Arc,Google Gemini
2025-11-29 18:23:46,Arc,Google Gemini
2025-11-29 18:23:52,Electron,music_fetcher.py — spoti
2025-11-29 18:23:57,Electron,mac_activity_log.csv — spoti
2025-11-29 18:24:02,Electron,music_fetcher.py — spoti
2025-11-29 18:24:07,Arc,Google Gemini
2025-11-29 18:24:12,Arc,Google Gemini
2025-11-29 18:24:17,Arc,Google Gemini
2025-11-29 18:24:23,Arc,Google Gemini
2025-11-29 18:24:28,Arc,Google Gemini
2025-11-29 18:24:33,Arc,Google Gemini
2025-11-29 18:24:38,Electron,music_fetcher.py — spoti
2025-11-29 18:24:43,Electron,music_fetcher.py — spoti
2025-11-29 18:24:49,Arc,Google Gemini
2025-11-29 18:24:54,Electron,music_fetcher.py — spoti
2025-11-29 18:24:59,Electron,music_fetcher.py — spoti
2025-11-29 18:25:04,Electron,music_fetcher.py — spoti
2025-11-29 18:25:09,Electron,music_fetcher.py — spoti
2025-11-29 18:25:14,Electron,music_fetcher.py — spoti
2025-11-29 18:25:20,Electron,music_fetcher.py — spoti
2025-11-29 18:25:25,Spotify,Spotify Premium
2025-11-29 18:25:30,Electron,music_fetcher.py — spoti
2025-11-29 18:25:35,Electron,music_fetcher.py — spoti
2025-11-29 18:25:40,Electron,music_fetcher.py — spoti
2025-11-29 18:25:45,Electron,music_fetcher.py — spoti
2025-11-29 18:25:51,Electron,music_fetcher.py — spoti
2025-11-29 18:25:56,Arc,Google Gemini
2025-11-29 18:26:01,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:26:06,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:26:11,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:26:17,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:26:22,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:26:27,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:26:32,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:26:37,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:26:42,Arc,
2025-11-29 18:26:48,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:26:53,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:26:58,Arc,Google Gemini
2025-11-29 18:27:03,Electron,music_fetcher.py — spoti
2025-11-29 18:27:08,Electron,music_fetcher.py — spoti
2025-11-29 18:27:14,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:27:19,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:27:24,Arc,Google Gemini
2025-11-29 18:27:29,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:27:34,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:27:39,Arc,Google Gemini
2025-11-29 18:27:45,Arc,CCDATRCL_PROPOSALS
2025-11-29 18:27:50,Arc,how to fine tune a model
2025-11-29 18:27:55,Spotify,Nogymx - Whispers of Eden
2025-11-29 18:28:00,Spotify,Nogymx - Whispers of Eden
2025-11-29 18:28:05,Spotify,Tonion - Holy Cloud
2025-11-29 18:28:11,Spotify,Frank Sinatra - Have Yourself A Merry Little Christmas - Remastered 1999
2025-11-29 18:28:16,Arc,how to fine tune a model
2025-11-29 18:28:21,Arc,Google Gemini
2025-11-29 18:28:26,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:28:31,Arc,Google Gemini
2025-11-29 18:28:36,Arc,Project Tracker | Basic Information
2025-11-29 18:28:42,Arc,Google Gemini
2025-11-29 18:28:47,Electron,mac_activity_log.csv — spoti
2025-11-29 18:28:52,Arc,Google Gemini
2025-11-29 18:28:57,Arc,Google Gemini
2025-11-29 18:29:02,Arc,Google Gemini
2025-11-29 18:29:08,Arc,Google Gemini
2025-11-29 18:29:13,Arc,Google Gemini
2025-11-29 18:29:18,Arc,Google Gemini
2025-11-29 18:29:23,Arc,Google Gemini
2025-11-29 18:29:28,Arc,Google Gemini
2025-11-29 18:29:33,Arc,Google Gemini
2025-11-29 18:29:39,Arc,Google Gemini
2025-11-29 18:29:44,Arc,Google Gemini
2025-11-29 18:29:49,Arc,Google Gemini
2025-11-29 18:29:54,Arc,Google Gemini
2025-11-29 18:29:59,Arc,Google Gemini
2025-11-29 18:30:05,Arc,Google Gemini
2025-11-29 18:30:10,Arc,Google Gemini
2025-11-29 18:30:15,Arc,Google Gemini
2025-11-29 18:30:20,Arc,Google Gemini
2025-11-29 18:30:25,Arc,Google Gemini
2025-11-29 18:30:30,Arc,Google Gemini
2025-11-29 18:30:36,Arc,Google Gemini
2025-11-29 18:30:41,Arc,Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragmen
2025-11-29 18:30:46,Arc,TQuantifying the Lagged Causal Effects of Musical Genre on Digital Productivity and Attention Fragme
2025-11-29 18:30:51,Arc,The Rhythm of Focus: Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity
2025-11-29 18:30:56,Arc,Google Gemini
2025-11-29 18:31:02,Arc,The Rhythm of Focus: Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity
2025-11-29 18:31:07,Arc,The Rhythm of Focus: Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity
2025-11-29 18:31:12,Arc,Google Gemini
2025-11-29 18:31:17,Arc,The Rhythm of Focus: Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity
2025-11-29 18:31:22,Arc,Google Gemini
2025-11-29 18:31:28,Arc,The Rhythm of Focus: Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity
2025-11-29 18:31:33,Arc,Google Gemini
2025-11-29 18:31:38,Arc,The Rhythm of Focus: Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity
2025-11-29 18:31:43,Arc,The Rhythm of Focus: Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity
2025-11-29 18:31:48,Arc,The Rhythm of Focus: Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity
2025-11-29 18:31:53,Arc,The Rhythm of Focus: Quantifying the Lagged Causal Effects of Musical Genre on Digital Productivity
